,id,name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Term,Popularity
15061,762958653946844978,Townhouse near Donmuang Airport International.,Don Mueang,13.94814,100.59207,Entire home/apt,850,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
15062,763401761333113689,Sarasinee Junior Suite,Phaya Thai,13.79367549635577,100.5481621851838,Private room,1100,0,1970-01-01,0.0,2,High,0,Short,Unpopuler
15063,763421928480852895,Pat room,Don Mueang,13.9133591,100.5896263,Private room,576,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
15064,763465918701575965,Peaceful Space @ De Lapis Riverview,Bang Phlat,13.79267,100.50468,Entire home/apt,1490,0,1970-01-01,0.0,4,High,0,Short,Unpopuler
15065,763469024967504426,22FAmazing pool and Gym Rama9 MRT 5mis,Ratchathewi,13.7541882,100.5632693,Entire home/apt,1575,1,2022-11-29,1.0,14,High,1,Short,Unpopuler
15066,763495621201543053,Rare Find @ Ciela Charan13 Station,Bangkok Yai,13.74009,100.46965,Entire home/apt,1490,0,1970-01-01,0.0,4,High,0,Short,Unpopuler
15067,763575896091077366,Quadruple room near Khaosan and grand palace,Phra Nakhon,13.76374,100.49741,Private room,1250,1,2022-11-29,1.0,5,High,1,Short,Unpopuler
15068,763633229352666733,Apartment near Khaosan,Phra Nakhon,13.76236,100.49723,Private room,650,2,2022-12-07,1.87,5,High,2,Short,Populer
15069,763667089052154824,ใจกลางเมืองติดห้างไอคอนสยาม วิวแม่น้ำเจ้าพระยา5ดาว,Thon buri,13.696346126268152,100.4851908384842,Entire home/apt,1800,0,1970-01-01,0.0,2,High,0,Short,Unpopuler
15070,763703171868715376,Soi dog heaven.,Vadhana,13.72997,100.58101,Private room,1200,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
15071,763772853135183234,网红打卡泳池/ 高级公寓/ 四面佛/ 暹罗广场/ 水门市场,Parthum Wan,13.736754,100.546442,Entire home/apt,1600,0,1970-01-01,0.0,9,High,0,Long,Unpopuler
15072,764118292516802030,R201/nearNewTrainNightMarket,Din Daeng,13.77027,100.57002,Entire home/apt,650,0,1970-01-01,0.0,22,High,0,Short,Unpopuler
15073,764137071788548326,R204 @ Oriental Ratchada,Din Daeng,13.77038,100.5712,Entire home/apt,650,1,2022-11-27,0.94,22,High,1,Short,Unpopuler
15074,764181588620394955,Designer's 1-bedroom apartment,Khlong Toei,13.7376873,100.5533109,Entire home/apt,823,2,2022-12-18,2.0,2,High,2,Short,Populer
15075,764184727765605500,Large&Stylish 2BR+Outdoor Pool&Spa-BTS Ekkamai,Vadhana,13.73889,100.58883,Entire home/apt,2449,0,1970-01-01,0.0,37,Low,0,Long,Unpopuler
15076,764189199042119074,Modern&Luxury Condo/Infinity pool@BTS/Silom,Sathon,13.72027,100.52533,Entire home/apt,4588,0,1970-01-01,0.0,21,Low,0,Short,Unpopuler
15077,764238482199306393,City Center / Stunning Views / Infinity Pool,Ratchathewi,13.75235832279374,100.53479150358278,Entire home/apt,2500,0,1970-01-01,0.0,3,High,0,Long,Unpopuler
15078,764245245443928549,Luxury Central Studio Loft - Lively Location,Huai Khwang,13.7554204,100.5657855,Entire home/apt,1677,0,1970-01-01,0.0,5,Low,0,Long,Unpopuler
15079,764290812778950638,1 BR greenery home near airport - Pets friendly,Saphan Sung,13.74178,100.70476,Private room,800,0,1970-01-01,0.0,2,High,0,Short,Unpopuler
15080,764297827617391657,Apartment Next to BangWa BTS,Phasi Charoen,13.72089,100.45958,Entire home/apt,850,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
15081,764333170138641774,Comfy 1-bedRm Infinite Rooftop pool,Khlong Toei,13.72614,100.56449,Entire home/apt,1200,0,1970-01-01,0.0,7,High,0,Long,Unpopuler
15082,764445186193514218,Best Location and Style. #1,Vadhana,13.7361,100.58391,Entire home/apt,4285,0,1970-01-01,0.0,8,High,0,Short,Unpopuler
15083,764711915015539212,Soi 24 luxury appartement city view bkk on 17th fl,Khlong Toei,13.72408,100.56751,Entire home/apt,2000,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
15084,764713304733492639,Modern Room 5 minutes to BTS(4D),Sathon,13.7171288,100.517136,Private room,690,1,2022-11-28,1.0,9,High,1,Short,Unpopuler
15085,764734203255356449,"Luxury condo, MRT and BTS in downtown Bangkok",Huai Khwang,13.75721,100.56889,Entire home/apt,1800,0,1970-01-01,0.0,6,High,0,Short,Unpopuler
15086,764763782519346770,Cozy unit w/breakfast in the heart of Bangkok,Vadhana,13.73827,100.56146,Entire home/apt,6188,0,1970-01-01,0.0,34,Low,0,Short,Unpopuler
